mode,load,0_inception_v3-8,1_vgg13-2,2_vgg13-32
mps-uncap,0.8,59.31129455566407,18.167881965637207,22.10775852203369
mps-uncap,0.9,63.86740684509276,17.69563436508179,22.54763126373291
mps-uncap,1.0,66.14989280700684,18.462224006652836,21.180343627929695
mps-uncap,0.5,50.589895248413086,16.34678840637207,21.439547538757324
mps-uncap,0.6,56.402106285095215,16.874079704284668,22.183208465576172
mps-uncap,0.7,58.41142654418945,17.69754409790039,21.79921150207519
mps-uncap,0.1,34.873933792114265,16.879262924194354,28.001017570495602
mps-uncap,0.2,38.46471786499023,15.802304744720459,22.90821075439453
mps-uncap,0.3,39.73326444625854,15.796666145324709,21.122612953186028
mps-uncap,0.4,46.94637775421143,15.905408859252931,20.95733642578125
