mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,17.94910430908203,48.452138900756836,17.61651039123535
mig,0.6,21.372079849243164,50.13442039489746,15.636444091796875
mps-uncap,0.7,18.687963485717773,47.15442657470703,18.4633731842041
mig,0.7,18.368005752563477,51.4371395111084,13.362646102905273
mps-uncap,0.8,18.5396671295166,48.070669174194336,19.083499908447266
mig,0.8,23.27132225036621,57.9988956451416,16.58344268798828
mps-uncap,0.9,18.95928382873535,42.69242286682129,19.365549087524414
mig,0.9,22.37677574157715,59.441328048706055,20.391464233398438
mps-uncap,1.0,18.488645553588867,44.588565826416016,18.73779296875
mig,1.0,19.936561584472656,52.50811576843262,13.457298278808594
mps-uncap,1.1,22.369384765625,45.48287391662598,22.292137145996094
mig,1.1,16.740798950195312,54.373979568481445,14.503717422485352
mps-uncap,1.2,22.54652976989746,44.367074966430664,22.478342056274414
mig,1.2,23.84161949157715,58.373451232910156,20.89214324951172
mps-uncap,1.3,22.741079330444336,57.008981704711914,21.58832550048828
mig,1.3,16.913414001464844,49.669504165649414,11.721134185791016
