mode,load,0_mobilenet_v2-4,1_mobilenet_v2-4,2_mobilenet_v2-4,3_mobilenet_v2-4
mig,0.1,2.489328384399414,2.5339126586914062,2.5424957275390625,4.536867141723633
mig,0.2,2.4874210357666016,2.539396286010742,2.545595169067383,4.543781280517578
mig,0.3,2.4831295013427734,2.533435821533203,2.545595169067383,4.529714584350586
mig,0.4,2.485513687133789,2.531290054321289,2.5441646575927734,4.52733039855957
mig,0.5,2.4852752685546875,2.531766891479492,2.536296844482422,4.529714584350586
mig,0.6,2.4797916412353516,2.528667449951172,2.536773681640625,4.531621932983398
mig,0.7,2.4805068969726562,2.5289058685302734,2.5408267974853516,4.522800445556641
mig,0.8,2.483367919921875,2.5293827056884766,2.5365352630615234,4.527568817138672
mig,0.9,2.4836063385009766,2.526998519897461,2.541780471801758,4.523277282714844
mig,1.0,2.4831295013427734,2.532482147216797,2.538442611694336,4.523038864135742
