mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,40.842294692993164,42.10257530212402,38.237810134887695
mps-uncap,0.9,66.79892539978027,130.31435012817383,49.63541030883789
mps-uncap,1.0,226.55463218688965,964.6270275115967,118.4852123260498
mps-uncap,0.5,22.701025009155273,25.7418155670166,22.930622100830078
mps-uncap,0.6,28.919696807861328,21.73614501953125,21.99387550354004
mps-uncap,0.7,50.40335655212402,28.578758239746094,31.478166580200195
mps-uncap,0.1,10.36524772644043,16.524314880371094,14.499902725219727
mps-uncap,0.2,18.030166625976562,25.698423385620117,18.37921142578125
mps-uncap,0.3,18.302202224731445,26.976346969604492,23.13542366027832
mps-uncap,0.4,22.113561630249023,25.730133056640625,22.905588150024414
