mode,load,0_mobilenet_v2-2,1_resnet34-8,2_vgg19-8
mps-uncap,0.8,13.116717338562012,11.028289794921875,18.471360206604004
mps-uncap,0.9,94.64740753173828,20.20084857940674,101.44305229187012
mps-uncap,1.0,3322.43013381958,48.51865768432617,3279.468536376953
mps-uncap,0.5,6.830811500549316,7.9021453857421875,8.281469345092773
mps-uncap,0.6,6.809830665588379,8.602261543273926,9.726643562316895
mps-uncap,0.7,8.34035873413086,9.664297103881836,13.301610946655273
mps-uncap,0.1,9.389996528625488,8.235573768615723,7.5283050537109375
mps-uncap,0.2,9.55057144165039,8.076667785644531,7.406353950500488
mps-uncap,0.3,9.239912033081055,8.161306381225586,7.369041442871094
mps-uncap,0.4,7.639765739440918,7.822394371032715,7.716178894042969
