mode,load,0_mobilenet_v2-32,1_resnet34-2,2_vgg19-32
mps-uncap,0.8,26.644651889801025,28.533573150634776,26.231412887573242
mps-uncap,0.9,26.866936683654785,28.894634246826165,26.524558067321777
mps-uncap,1.0,29.47479724884033,26.64595603942871,26.58864736557007
mps-uncap,0.5,25.94996452331543,25.493192672729492,25.58605194091797
mps-uncap,0.6,26.64732933044434,25.752048492431644,25.786309242248535
mps-uncap,0.7,26.807136535644524,25.89087724685669,26.0333251953125
mps-uncap,0.1,23.718149662017815,19.288573265075684,23.741579055786136
mps-uncap,0.2,24.76436614990233,21.004362106323246,24.090232849121094
mps-uncap,0.3,24.365353584289554,21.524124145507812,24.262504577636715
mps-uncap,0.4,25.50251007080078,24.240612983703613,25.106570720672607
