mode,load,0_mobilenet_v2-8,1_resnet50-4,2_squeezenet1_0-16
mps-uncap,0.8,3.8487911224365234,5.998134613037109,3.860950469970703
mps-uncap,0.9,4.442453384399414,6.578683853149414,4.296779632568359
mps-uncap,1.0,5.060911178588867,7.915258407592773,4.480600357055664
mps-uncap,0.5,4.533052444458008,6.718873977661133,3.570556640625
mps-uncap,0.6,3.886580467224121,6.133079528808594,3.602743148803711
mps-uncap,0.7,3.7779808044433594,5.660057067871094,3.6945343017578125
mps-uncap,0.1,5.77092170715332,6.819248199462891,3.048539161682129
mps-uncap,0.2,5.6552886962890625,6.602168083190918,3.040313720703125
mps-uncap,0.3,5.534529685974121,6.665229797363281,3.2581090927124023
mps-uncap,0.4,5.400538444519043,6.897687911987305,3.433704376220703
