mode,load,0_mobilenet_v2-32,1_squeezenet1_0-4,2_vgg19-8
mps-uncap,0.8,14.404869079589846,9.494268894195558,10.742647647857666
mps-uncap,0.9,14.769954681396484,9.752309322357178,11.141252517700192
mps-uncap,1.0,15.370359420776367,9.545979499816896,11.470074653625485
mps-uncap,0.5,13.75856399536133,8.360719680786136,10.247254371643068
mps-uncap,0.6,14.066624641418457,8.462476730346681,10.373461246490479
mps-uncap,0.7,14.024436473846436,9.062664508819578,10.477423667907715
mps-uncap,0.1,10.768318176269531,4.865427017211914,9.325175285339355
mps-uncap,0.2,12.309255599975591,6.509602069854745,9.709627628326418
mps-uncap,0.3,12.826952934265137,7.784235477447509,9.95849609375
mps-uncap,0.4,13.177347183227539,8.022737503051758,10.020020008087156
