mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,36.15703582763672,21.17009162902832,21.358346939086914
mps-uncap,0.9,38.71612548828125,21.86717987060547,21.72386646270752
mps-uncap,1.0,40.22846221923828,22.266149520874023,22.570109367370605
mps-uncap,0.5,22.33433723449707,17.529845237731934,17.348194122314453
mps-uncap,0.6,26.65915489196778,19.074392318725586,18.88871192932129
mps-uncap,0.7,32.1120023727417,20.31722068786621,20.108461380004883
mps-uncap,0.1,11.953401565551761,11.70122623443604,12.083673477172853
mps-uncap,0.2,13.444852828979503,13.529634475708008,13.666105270385742
mps-uncap,0.3,15.634894371032715,16.297030448913574,16.4797306060791
mps-uncap,0.4,18.54524612426758,17.084121704101562,16.88821315765381
