mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,0.6,11.721777915954595,44.90828514099121,5.7232379913330105
mig,0.6,21.00925445556642,31.65113925933838,55.43289184570315
mps-uncap,0.7,17.673206329345707,90.37671089172363,6.6636323928833034
mig,0.7,32.84361362457276,64.59209918975831,77.32167243957525
mps-uncap,0.8,27.85668373107911,162.69183158874512,8.004546165466309
mig,0.8,52.19674110412598,80.73043823242188,110.19182205200195
mps-uncap,0.9,52.97355651855469,4663.853979110719,9.561300277709961
mig,0.9,106.50377273559575,156.012511253357,195.0680017471314
mps-uncap,1.0,110.74481010437012,13844.993257522583,10.81993579864502
mig,1.0,1108.6644649505615,1923.4023809432983,1770.011067390442
mps-uncap,1.1,1109.3586683273315,27013.2866859436,13.378906250000002
mig,1.1,8763.721656799318,6774.422216415405,6255.372762680054
mps-uncap,1.2,11902.745628356934,33435.427069664,15.59762954711914
mig,1.2,13901.023149490358,12256.055402755735,14489.40064907074
mps-uncap,1.3,16727.401280403137,37572.3598241806,17.650723457336433
mig,1.3,19536.92388534546,20267.87917613983,19229.367518424995
