mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4,2_mobilenet_v3_small-16
mps-uncap,0.8,5.4303669929504395,5.4315972328186035,4.712581634521484
mps-uncap,0.9,5.896964073181153,5.402772426605224,4.7040367126464835
mps-uncap,1.0,5.318341255187987,5.3231239318847665,4.656126499176027
mps-uncap,0.5,5.7921671867370605,5.460011959075926,6.004700660705557
mps-uncap,0.6,5.825393199920654,5.353689193725586,5.827980041503908
mps-uncap,0.7,5.653266906738282,5.55729866027832,5.751140117645268
mps-uncap,0.1,11.281776428222656,11.471014022827148,9.884676933288576
mps-uncap,0.2,8.870184421539305,8.810992240905762,7.738192081451415
mps-uncap,0.3,6.845674514770507,6.643667221069335,6.177947521209717
mps-uncap,0.4,5.951437950134276,5.729913711547852,6.121702194213867
