mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,10.077476501464844,7.411956787109375,9.503602981567383
mps-uncap,0.9,8.258342742919922,7.224321365356445,9.164094924926758
mps-uncap,1.0,8.940696716308594,7.817506790161133,9.752988815307617
mps-uncap,0.5,8.601665496826172,8.825540542602539,8.912801742553711
mps-uncap,0.6,8.28099250793457,8.004188537597656,8.723735809326172
mps-uncap,0.7,8.209228515625,7.542848587036133,9.671211242675781
mps-uncap,0.1,8.608102798461914,8.944511413574219,8.751153945922852
mps-uncap,0.2,9.194135665893555,8.588314056396484,8.741617202758789
mps-uncap,0.3,9.166955947875977,8.545398712158203,8.713245391845703
mps-uncap,0.4,8.713483810424805,12.242794036865234,8.883476257324219
