mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-16,2_resnet18-4
mps-uncap,0.8,3.4821510314941406,2.889466285705567,2.055692672729492
mps-uncap,0.9,3.209352493286133,3.172636032104492,2.158641815185547
mps-uncap,1.0,3.591299057006836,2.945423126220703,2.142667770385742
mps-uncap,0.5,4.862785339355469,4.04820442199707,2.749800682067871
mps-uncap,0.6,4.240679740905761,3.2088518142700204,2.47955322265625
mps-uncap,0.7,3.498077392578125,3.119230270385742,1.970529556274414
mps-uncap,0.1,7.846832275390625,6.581258773803711,3.233194351196289
mps-uncap,0.2,7.64622688293457,6.449174880981446,3.2419204711914062
mps-uncap,0.3,7.483196258544923,6.267452239990234,3.246784210205078
mps-uncap,0.4,5.880212783813477,4.988908767700195,3.0875205993652344
