mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-4,2_vgg11-32
mps-uncap,0.6,0.03266334533691406,1.330256462097168,0.024318695068359375
mig,0.6,3.9467811584472656,0.885009765625,14.16313648223877
mps-uncap,0.7,1.8309354782104492,3.0983686447143555,0.019073486328125
mig,0.7,7.4100494384765625,1.6636848449707031,23.62513542175293
mps-uncap,0.8,6.147623062133789,12.358784675598145,0.018358230590820312
mig,0.8,12.240171432495117,3.2095909118652344,48.11215400695801
mps-uncap,0.9,12.724876403808594,1875.0083446502686,0.017881393432617188
mig,0.9,36.52763366699219,5.6056976318359375,98.60014915466309
mps-uncap,1.0,52.248358726501465,10643.56529712677,0.018358230590820312
mig,1.0,254.80341911315918,21.394968032836914,1283.9925289154053
mps-uncap,1.1,1634.0453624725342,17155.189871788025,0.018835067749023438
mig,1.1,4422.051668167114,3298.2492446899414,4848.410367965698
mps-uncap,1.2,6446.122884750366,19270.490407943726,0.018835067749023438
mig,1.2,6689.774870872498,6323.140621185303,8356.359243392944
mps-uncap,1.3,10835.667610168457,24585.734963417053,0.0286102294921875
mig,1.3,10362.50638961792,9322.420358657837,12866.201877593994
