mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-16,2_vgg13-16
mps-uncap,0.8,5.527734756469727,3.1919479370117188,8.642196655273438
mps-uncap,0.9,5.665063858032227,3.345012664794922,8.695125579833984
mps-uncap,1.0,5.741119384765625,3.878355026245117,8.837223052978516
mps-uncap,0.5,5.4168701171875,3.192901611328125,8.522748947143555
mps-uncap,0.6,5.235910415649414,3.172636032104492,8.565425872802734
mps-uncap,0.7,5.211830139160156,3.129243850708008,8.547782897949219
mps-uncap,0.1,7.718801498413086,3.3783912658691406,8.705377578735352
mps-uncap,0.2,5.584478378295898,3.303050994873047,8.58449935913086
mps-uncap,0.3,6.0939788818359375,3.2706260681152344,8.500099182128906
mps-uncap,0.4,5.403041839599609,3.2324790954589844,8.420228958129883
