mode,load,0_mobilenet_v3_large-2,1_vgg11-16,2_vgg13-32
mps-uncap,0.8,0.04863739013671875,3.5839080810546875,12.809276580810547
mps-uncap,0.9,0.059723854064941406,12.360215187072754,33.905029296875
mps-uncap,1.0,27.01878547668457,56.27882480621338,184.48901176452637
mps-uncap,0.5,0.056624412536621094,0.04863739013671875,0.05364418029785156
mps-uncap,0.6,0.057220458984375,0.05030632019042969,0.06890296936035156
mps-uncap,0.7,0.05459785461425781,0.04887580871582031,5.330801010131836
mps-uncap,0.1,0.05888938903808594,0.05984306335449219,0.06258487701416016
mps-uncap,0.2,0.060558319091796875,0.056862831115722656,0.064849853515625
mps-uncap,0.3,0.05841255187988281,0.052928924560546875,0.06175041198730469
mps-uncap,0.4,0.05650520324707031,0.05125999450683594,0.057220458984375
