mode,load,0_mobilenet_v3_small-2,1_mobilenet_v3_small-2
mig,0.1,20.9043025970459,21.348237991333008
mig,0.2,27.32253074645996,25.950908660888672
mig,0.3,28.35559844970703,27.306318283081055
mig,0.4,26.775836944580078,22.65763282775879
mig,0.5,18.329858779907227,25.137662887573242
mig,0.6,26.31521224975586,25.61187744140625
mig,0.7,27.62436866760254,33.316612243652344
mig,0.8,51.56874656677246,37.2462272644043
mig,0.9,96.15683555603027,98.64091873168945
mig,1.0,2755.0575733184814,1438.610315322876
