mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,0.6,30.480265617370605,50.34482479095459,5.300760269165039
mig,0.6,51.57470703125,126.78003311157227,3.876209259033203
mps-uncap,0.7,32.034873962402344,54.33392524719238,9.840250015258789
mig,0.7,75.10805130004883,206.01308345794678,4.7607421875
mps-uncap,0.8,35.735487937927246,62.08610534667969,38.12456130981445
mig,0.8,89.3927812576294,238.7523651123047,5.934953689575195
mps-uncap,0.9,39.81292247772217,66.6205883026123,5749.245882034302
mig,0.9,189.47815895080566,497.1466064453125,9.916186332702637
mps-uncap,1.0,61.32650375366211,89.61093425750732,14542.46473312378
mig,1.0,962.7683162689209,2411.7658138275146,373.77309799194336
mps-uncap,1.1,67.42286682128906,92.17143058776855,19944.931268692017
mig,1.1,3141.409158706665,4974.710702896118,3355.2422523498535
mps-uncap,1.2,167.66929626464844,125.41937828063965,24728.397369384766
mig,1.2,8058.059453964233,5136.852741241455,6732.635378837585
mps-uncap,1.3,4386.631727218628,329.3783664703369,28723.025918006897
mig,1.3,11090.257167816162,9524.45673942566,10006.300926208496
