mode,load,0_resnet101-8,1_squeezenet1_0-32,2_squeezenet1_0-4
mps-uncap,0.8,292.5328288342465,3254.8918801745144,601.3050453444013
mps-uncap,0.9,355.22901447770033,3633.550902868034,676.8594351236652
mps-uncap,1.0,353.7535350618435,4108.641501178592,757.0591586369054
mps-uncap,0.5,191.2088954189154,1963.4715334671366,374.98935540280587
mps-uncap,0.6,238.43423286220863,2419.661275616564,443.56887356292356
mps-uncap,0.7,258.32708067092267,2758.4058109083244,526.9672656666985
mps-uncap,0.1,34.98029244379776,404.87233594761966,70.19189777524939
mps-uncap,0.2,76.15860125588947,830.1710700799186,146.45097077371284
mps-uncap,0.3,107.79548632102843,1202.1434180018878,216.6445231256908
mps-uncap,0.4,149.74801622335477,1626.1616663576033,289.3893918469803
