mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,14.729022979736328,17.308712005615234,4.03904914855957
mig,0.6,29.541730880737305,34.8811149597168,4.951953887939453
mps-uncap,0.7,14.764785766601562,17.3187255859375,4.028081893920898
mig,0.7,29.621601104736328,34.82413291931152,4.9571990966796875
mps-uncap,0.8,14.828920364379883,17.380714416503906,3.962278366088867
mig,0.8,29.591083526611328,34.86442565917969,4.945993423461914
mps-uncap,0.9,14.950990676879883,17.24529266357422,4.090070724487305
mig,0.9,29.634952545166016,34.87753868103027,4.959344863891602
mps-uncap,1.0,17.902612686157227,17.67897605895996,4.09698486328125
mig,1.0,29.59299087524414,34.917593002319336,5.059957504272461
mps-uncap,1.1,20.289897918701172,17.49253273010254,4.239797592163086
mig,1.1,29.94847297668457,35.00223159790039,5.104541778564453
mps-uncap,1.2,16.11804962158203,18.376827239990234,4.396677017211914
mig,1.2,29.84309196472168,35.01319885253906,5.0830841064453125
mps-uncap,1.3,28.391361236572266,25.397062301635742,4.661083221435547
mig,1.3,30.411243438720703,35.01582145690918,5.1097869873046875
