mode,load,0_resnet152-32,1_resnet152-8,2_resnet18-8
mps-uncap,0.6,46.37861251831055,37.33539581298828,14.397144317626953
mig,0.6,62.44707107543945,33.445119857788086,10.951042175292969
mps-uncap,0.7,44.2662239074707,40.88783264160156,14.023780822753906
mig,0.7,61.16604804992676,39.22438621520996,13.832807540893555
mps-uncap,0.8,43.951988220214844,40.96698760986328,14.748811721801758
mig,0.8,66.06721878051758,34.365177154541016,10.609865188598633
mps-uncap,0.9,47.85871505737305,42.55986213684082,17.38572120666504
mig,0.9,66.26415252685547,34.41619873046875,11.617183685302734
mps-uncap,1.0,42.43063926696777,40.53521156311035,15.273332595825195
mig,1.0,64.46337699890137,35.29620170593262,11.652708053588867
mps-uncap,1.1,48.84743690490723,47.84870147705078,22.345781326293945
mig,1.1,63.5828971862793,35.02345085144043,12.603759765625
mps-uncap,1.2,50.896644592285156,46.75602912902832,18.206357955932617
mig,1.2,68.53270530700684,40.60769081115723,18.320083618164062
mps-uncap,1.3,49.41678047180176,47.48368263244629,22.423744201660156
mig,1.3,69.96631622314453,40.416717529296875,15.131711959838867
