mode,load,0_resnet152-16,1_resnet152-4,2_squeezenet1_1-8
mps-uncap,0.6,14.755964279174805,12.933731079101562,1.6734600067138672
mig,0.6,29.58202362060547,14.849424362182617,3.023386001586914
mps-uncap,0.7,14.87588882446289,13.06772232055664,1.687765121459961
mig,0.7,29.541492462158203,14.846086502075195,3.0257701873779297
mps-uncap,0.8,14.957904815673828,12.95161247253418,1.6927719116210938
mig,0.8,29.57463264465332,14.873743057250977,3.0481815338134766
mps-uncap,0.9,15.873908996582031,13.104677200317383,1.68609619140625
mig,0.9,29.6478271484375,14.870643615722656,3.054380416870117
mps-uncap,1.0,16.074419021606445,13.01264762878418,1.7099380493164062
mig,1.0,29.801130294799805,14.962196350097656,3.1156539916992188
mps-uncap,1.1,20.076751708984375,13.164281845092773,1.6982555389404297
mig,1.1,29.784202575683594,14.985084533691406,3.125905990600586
mps-uncap,1.2,16.44277572631836,13.300180435180664,1.7499923706054688
mig,1.2,29.930591583251953,15.006065368652344,3.136873245239258
mps-uncap,1.3,21.373748779296875,13.254642486572266,1.7359256744384766
mig,1.3,29.78229522705078,14.979362487792969,3.0984878540039062
