mode,load,0_resnet152-4,1_resnet34-32,2_resnet34-32
mps-uncap,0.8,110.53302001759751,1973.63319675709,2063.204031146954
mps-uncap,0.9,123.85816288452838,2326.2766093268137,2353.918442255008
mps-uncap,1.0,132.44980981350244,2596.4333505773334,2569.7358465998927
mps-uncap,0.5,68.98387342895099,1266.2970411576798,1245.1796554591867
mps-uncap,0.6,82.55676172083558,1512.1371111243886,1545.4159234241981
mps-uncap,0.7,91.71863132386521,1774.593122741211,1725.6779939572186
mps-uncap,0.1,13.50377210140795,252.50521171539341,253.94316634062073
mps-uncap,0.2,26.293271429955865,489.3725808265779,502.7728347622008
mps-uncap,0.3,40.79961666289776,773.6568012008936,769.3346623513208
mps-uncap,0.4,52.11154142011246,1044.157979588714,1009.6557211673376
