mode,load,0_resnet152-16,1_resnet34-16,2_squeezenet1_0-8
mps-uncap,0.8,434.1913690519355,1321.6424331222356,1355.7827907243413
mps-uncap,0.9,505.54442013797154,1507.5152176079816,1527.3880605575057
mps-uncap,1.0,493.0055897855895,1627.3545198993108,1551.8209558213496
mps-uncap,0.5,263.1973390212595,824.1765185403325,860.427175757601
mps-uncap,0.6,329.3309134852918,987.4584018864873,1005.5656959044211
mps-uncap,0.7,389.9973340288975,1176.3322451844842,1181.5164973397339
mps-uncap,0.1,59.62355674303988,166.40154088263418,170.40966938803913
mps-uncap,0.2,102.14681263071333,336.79067603467854,334.15627878932594
mps-uncap,0.3,165.99633292159004,479.1392791893705,511.610549224056
mps-uncap,0.4,211.64070278073822,694.7667901461039,679.3680653948571
