mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,10.84089279174805,43.48587989807132,35.1198434829712
mig,0.6,17.423152923583984,107.15370178222656,82.12494850158691
mps-uncap,0.7,13.87896537780763,44.797658920288086,43.438386917114286
mig,0.7,22.077322006225607,159.02931690216062,121.6006994247437
mps-uncap,0.8,16.551542282104503,62.52145767211914,62.49825954437262
mig,0.8,32.94038772583008,253.62727642059357,184.62247848510756
mps-uncap,0.9,31.941127777099606,83.25238227844235,77.11386680603026
mig,0.9,87.83233165740964,446.9458580017091,185.92951297760013
mps-uncap,1.0,156.99253082275393,132.9303741455078,80.5884599685669
mig,1.0,720.2999114990236,1586.4291191101074,835.5686664581298
mps-uncap,1.1,6855.441880226135,308.11035633087164,191.02511405944833
mig,1.1,7497.293996810913,8812.22276687622,6071.018314361573
mps-uncap,1.2,13105.862331390383,6436.044263839722,7418.098211288452
mig,1.2,13156.111216545107,14624.67715740204,12004.17261123657
mps-uncap,1.3,22472.57466316223,1355.8282852172852,11132.881736755371
mig,1.3,17167.500257492065,17924.25229549408,17611.52892112732
