mode,load,0_resnet18-32,1_resnet34-2,2_vgg13-4
mps-uncap,0.8,4.558801651000977,3.3884048461914062,2.651214599609375
mps-uncap,0.9,4.710674285888672,3.3817291259765625,2.6633739471435547
mps-uncap,1.0,4.947900772094727,3.406047821044922,2.716541290283203
mps-uncap,0.5,4.368305206298828,3.361940383911133,2.6226043701171875
mps-uncap,0.6,4.389762878417969,3.358602523803711,2.6102066040039062
mps-uncap,0.7,4.436254501342773,3.4112930297851562,2.6464462280273438
mps-uncap,0.1,4.733085632324219,4.232883453369141,2.656221389770508
mps-uncap,0.2,4.538774490356445,3.4868717193603516,2.6700496673583984
mps-uncap,0.3,4.40669059753418,3.3507347106933594,2.6254653930664062
mps-uncap,0.4,4.451513290405273,3.378152847290039,2.6547908782958984
