mode,load,0_resnet18-32,1_resnet34-2,2_vgg13-4
mps-uncap,0.8,4.740715026855469,3.4034252166748047,2.6624202728271484
mps-uncap,0.9,4.723072052001953,3.457307815551758,2.679109573364258
mps-uncap,1.0,4.959821701049805,3.7178993225097656,2.729654312133789
mps-uncap,0.5,4.379510879516602,3.412008285522461,2.6369094848632812
mps-uncap,0.6,4.417657852172852,3.379344940185547,2.640247344970703
mps-uncap,0.7,4.54258918762207,3.4263134002685547,2.6602745056152344
mps-uncap,0.1,4.761695861816406,4.257678985595703,2.675294876098633
mps-uncap,0.2,4.581212997436523,3.4990310668945312,2.684354782104492
mps-uncap,0.3,4.442691802978516,3.3998489379882812,2.6390552520751953
mps-uncap,0.4,4.479646682739258,3.425121307373047,2.6788711547851562
