mode,load,0_resnet50-32,1_squeezenet1_0-2,2_squeezenet1_0-4
mps-uncap,0.6,15.844106674194336,1.8205642700195312,1.9350051879882812
mig,0.6,26.192903518676758,1.7608404159545898,2.7365684509277344
mps-uncap,0.7,15.346288681030273,1.8200874328613281,1.8966197967529297
mig,0.7,26.20720863342285,1.7688274383544922,2.742767333984375
mps-uncap,0.8,15.427827835083008,1.8301010131835938,1.8112659454345703
mig,0.8,26.215553283691406,1.7809867858886719,2.7391910552978516
mps-uncap,0.9,15.495538711547852,1.82342529296875,1.814126968383789
mig,0.9,26.207685470581055,1.7437934875488281,2.744436264038086
mps-uncap,1.0,15.57624340057373,1.8143653869628906,1.7960071563720703
mig,1.0,26.27873420715332,1.7621517181396484,2.7549266815185547
mps-uncap,1.1,15.607476234436035,1.8079280853271484,1.7991065979003906
mig,1.1,26.321887969970703,1.790761947631836,2.7627944946289062
mps-uncap,1.2,16.26765727996826,2.560853958129883,2.2073984146118164
mig,1.2,26.282548904418945,1.783132553100586,2.768278121948242
mps-uncap,1.3,15.709638595581055,2.9506683349609375,2.5358200073242188
mig,1.3,26.375651359558105,1.7502307891845703,2.7616024017333984
