mode,load,0_resnet50-32,1_squeezenet1_0-2,2_squeezenet1_0-4
mps-uncap,0.6,78.98473739624023,101.24063491821289,40.587425231933594
mig,0.6,174.55053329467773,16.03245735168457,23.50640296936035
mps-uncap,0.7,69.42462921142578,306.49518966674805,93.75381469726562
mig,0.7,297.3189353942871,20.96700668334961,31.08978271484375
mps-uncap,0.8,98.90460968017578,12436.640501022339,161.50832176208496
mig,0.8,790.5256748199463,28.809070587158203,39.934396743774414
mps-uncap,0.9,70.93524932861328,22839.998483657837,251.6491413116455
mig,0.9,799.1180419921875,38.947343826293945,65.5660629272461
mps-uncap,1.0,94.07544136047363,34080.57475090027,3922.133445739746
mig,1.0,939.6088123321533,89.15305137634277,143.85247230529785
mps-uncap,1.1,166.24116897583008,40816.83349609375,12693.711042404175
mig,1.1,8262.806415557861,7720.272779464722,7156.730890274048
mps-uncap,1.2,173.34938049316406,50410.404920578,23938.846826553345
mig,1.2,18753.971576690674,13070.565223693848,10954.411268234253
mps-uncap,1.3,267.2598361968994,55154.375314712524,34563.2758140564
mig,1.3,19620.14365196228,18222.32723236084,18118.225812911987
