mode,load,0_squeezenet1_0-2,1_squeezenet1_0-2
mig,0.1,4.002809524536133,3.9513111114501953
mig,0.2,2.6655197143554688,3.011465072631836
mig,0.3,1.7850399017333984,1.8000602722167969
mig,0.4,1.7681121826171875,1.7697811126708984
mig,0.5,1.7790794372558594,1.7857551574707031
mig,0.6,1.8029212951660156,1.7898082733154297
mig,0.7,1.7926692962646484,1.7895698547363281
mig,0.8,1.7807483673095703,1.8010139465332031
mig,0.9,1.7695426940917969,1.8014907836914062
mig,1.0,1.8079280853271484,1.8384456634521484
