mode,load,0_squeezenet1_0-16,1_squeezenet1_1-16,2_squeezenet1_1-8
mps-uncap,0.8,2.956390380859375,2.0411014556884766,1.337289810180664
mps-uncap,0.9,2.971172332763672,2.0372867584228516,1.3287067413330078
mps-uncap,1.0,2.960681915283203,2.061605453491211,1.3461112976074219
mps-uncap,0.5,2.958536148071289,2.0546913146972656,1.325845718383789
mps-uncap,0.6,2.9768943786621094,2.045154571533203,1.3382434844970703
mps-uncap,0.7,2.958059310913086,2.0492076873779297,1.3225078582763672
mps-uncap,0.1,2.9592514038085938,2.0406246185302734,1.3279914855957031
mps-uncap,0.2,2.974271774291992,2.0558834075927734,1.3377666473388672
mps-uncap,0.3,2.955913543701172,2.0439624786376953,1.3244152069091797
mps-uncap,0.4,2.9621124267578125,2.0411014556884766,1.3399124145507812
