mode,load,0_squeezenet1_1-16,1_squeezenet1_1-16,2_vgg13-4
mps-uncap,0.6,0.011205673217773438,0.012874603271484375,0.0133514404296875
mig,0.6,0.011205673217773438,0.010967254638671875,0.01239776611328125
mps-uncap,0.7,0.011682510375976562,0.010967254638671875,0.012874603271484375
mig,0.7,0.011444091796875,0.011682510375976562,0.011205673217773438
mps-uncap,0.8,0.011444091796875,0.011444091796875,0.011205673217773438
mig,0.8,0.011444091796875,0.011205673217773438,0.011205673217773438
mps-uncap,0.9,0.010967254638671875,0.010967254638671875,0.011205673217773438
mig,0.9,0.011920928955078125,0.011205673217773438,0.012874603271484375
mps-uncap,1.0,0.011682510375976562,0.011444091796875,0.011682510375976562
mig,1.0,0.011920928955078125,0.0133514404296875,0.0133514404296875
mps-uncap,1.1,0.013828277587890625,0.011444091796875,0.011682510375976562
mig,1.1,0.013589859008789062,0.015974044799804688,0.013828277587890625
mps-uncap,1.2,0.014066696166992188,0.011920928955078125,0.012159347534179688
mig,1.2,0.0133514404296875,0.015020370483398438,0.018835067749023438
mps-uncap,1.3,0.013828277587890625,0.011205673217773438,0.011205673217773438
mig,1.3,0.0133514404296875,0.014781951904296875,0.013828277587890625
