mode,load,0_squeezenet1_1-2,1_vgg16-4,2_vgg19-8
mps-uncap,0.8,7.298526763916015,8.416750431060791,9.820823669433596
mps-uncap,0.9,7.454009056091308,8.541107177734375,10.009489059448242
mps-uncap,1.0,7.605047225952149,8.86744260787964,10.085303783416748
mps-uncap,0.5,6.493639945983888,7.877025604248047,8.988285064697264
mps-uncap,0.6,6.658973693847655,7.987213134765626,9.178943634033203
mps-uncap,0.7,6.918373107910157,8.263444900512694,9.497413635253906
mps-uncap,0.1,4.274258613586426,7.3604106903076145,8.23392391204834
mps-uncap,0.2,4.678373336791997,7.4596691131591815,8.345775604248047
mps-uncap,0.3,6.018238067626953,7.668328285217282,8.569450378417969
mps-uncap,0.4,6.383647918701172,7.765159606933595,8.778464794158936
