mode,load,0_vgg11-16,1_alexnet-4,2_efficientnet_b6-2
mps-uncap,0.6,13.828015327453617,5.875539779663086,80.65774440765382
mig,0.6,44.35892105102539,5.826139450073246,51.19142532348635
mps-uncap,0.7,15.107917785644538,9.202384948730474,129.60219383239746
mig,0.7,54.17356491088868,7.174062728881836,65.95318317413329
mps-uncap,0.8,16.669130325317383,14.036226272583006,550.2787113189697
mig,0.8,73.9593029022217,10.176420211791992,84.99808311462407
mps-uncap,0.9,18.183016777038574,26.51948928833008,9740.153717994688
mig,0.9,151.30515098571775,20.02871036529541,179.5975685119629
mps-uncap,1.0,19.933223724365234,43.630146980285666,25007.69944190979
mig,1.0,1310.9583377838135,729.7652482986451,453.9448261260986
mps-uncap,1.1,22.239685058593754,375.7936716079712,27196.56839370728
mig,1.1,7551.5472173690805,4164.27206993103,5541.960525512695
mps-uncap,1.2,25.479006767272953,9214.56069946289,34950.14848709107
mig,1.2,12405.326533317566,9906.906127929688,13607.3317527771
mps-uncap,1.3,29.91461753845215,21952.630043029785,41376.858949661255
mig,1.3,16819.21730041504,16622.55346775055,18937.248826026917
