mode,load,0_vgg11-32,1_vgg13-2,2_vgg19-2
mps-uncap,0.8,15.039920806884766,12.696552276611328,14.982748031616213
mps-uncap,0.9,15.114927291870117,14.375066757202148,15.077829360961914
mps-uncap,1.0,15.287041664123535,13.331747055053711,16.271352767944336
mps-uncap,0.5,14.783382415771484,10.757017135620119,12.149453163146973
mps-uncap,0.6,14.991998672485352,11.607074737548828,13.057327270507812
mps-uncap,0.7,15.124201774597168,12.555718421936035,13.672828674316406
mps-uncap,0.1,18.380379676818848,4.12297248840332,4.700183868408206
mps-uncap,0.2,15.053486824035645,6.856441497802735,8.203125000000004
mps-uncap,0.3,14.812707901000977,8.658742904663086,9.870719909667981
mps-uncap,0.4,14.836311340332031,9.90452766418457,11.260461807250977
