mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,0.012636184692382812,0.014066696166992188,0.012159347534179688
mig,0.6,0.013113021850585938,0.01430511474609375,0.012159347534179688
mps-uncap,0.7,0.011682510375976562,0.011920928955078125,0.012159347534179688
mig,0.7,0.0133514404296875,0.014066696166992188,0.011682510375976562
mps-uncap,0.8,0.013113021850585938,0.011920928955078125,0.015497207641601562
mig,0.8,0.012636184692382812,0.014543533325195312,0.011444091796875
mps-uncap,0.9,0.012874603271484375,0.014781951904296875,0.014781951904296875
mig,0.9,0.013113021850585938,0.0152587890625,0.012159347534179688
mps-uncap,1.0,0.012874603271484375,0.014781951904296875,0.025510787963867188
mig,1.0,0.013589859008789062,0.015497207641601562,0.013828277587890625
mps-uncap,1.1,0.010967254638671875,0.014066696166992188,0.018835067749023438
mig,1.1,0.017404556274414062,0.019073486328125,0.014066696166992188
mps-uncap,1.2,0.012636184692382812,0.014066696166992188,0.033855438232421875
mig,1.2,0.019311904907226562,0.020742416381835938,0.015974044799804688
mps-uncap,1.3,0.013113021850585938,0.016450881958007812,0.034809112548828125
mig,1.3,0.0247955322265625,0.03886222839355469,0.014066696166992188
