mode,load,0_vgg13-16,1_inception_v3-8,2_squeezenet1_1-4
mps-uncap,0.6,30.591249465942383,72.71345615387028,58.17352771759032
mig,0.6,94.15456771850587,54.279356002807624,11.610579490661623
mps-uncap,0.7,29.3672800064087,135.62717437744138,96.42076492309573
mig,0.7,123.04082870483379,88.24426174163816,14.52804565429687
mps-uncap,0.8,35.23221015930174,303.1134510040284,4403.323292732239
mig,0.8,287.8128743171692,124.33492183685303,20.627331733703535
mps-uncap,0.9,43.360681533813434,10841.812369823454,21089.718718528748
mig,0.9,264.0588617324829,413.911509513855,129.01920318603516
mps-uncap,1.0,48.44504356384277,18567.541122436523,29557.91053533554
mig,1.0,1009.4623565673828,1173.2758498191831,815.3691387176514
mps-uncap,1.1,48.67884159088115,28493.235571384426,37612.580547332764
mig,1.1,5246.9083070755005,8230.977263450623,4540.642261505128
mps-uncap,1.2,61.53117179870606,37850.84982633591,47087.885892391205
mig,1.2,14040.444555282598,13073.765182495117,10662.734942436218
mps-uncap,1.3,60.59713363647466,44876.11960649491,53901.72634124756
mig,1.3,21298.623723983765,21317.858805656437,19268.234577178955
