mode,load,0_vgg13-32,1_mobilenet_v2-4,2_resnet152-32
mps-uncap,0.6,17.16513633728028,94.51756477355957,47.518873214721715
mig,0.6,74.28617477416991,8.507490158081055,204.5433521270752
mps-uncap,0.7,20.193934440612793,2775.4539012908936,56.593132019042955
mig,0.7,105.14988899230956,11.800670623779295,243.92201900482186
mps-uncap,0.8,24.44601058959961,17255.660724639893,86.51697635650638
mig,0.8,237.27736473083502,20.245671272277832,554.1131973266602
mps-uncap,0.9,30.57632446289066,27689.374613761902,135.25953292846677
mig,0.9,300.30891895294195,33.03713798522949,1085.2935791015625
mps-uncap,1.0,35.90984344482425,39698.653173446655,151.36466026306152
mig,1.0,594.6525573730469,187.27576732635498,1029.974699020386
mps-uncap,1.1,51.20730400085449,48763.894557952895,283.0929756164551
mig,1.1,10023.066091537476,6056.250286102296,6255.953431129456
mps-uncap,1.2,58.21509361267091,55022.31638431549,383.53710174560575
mig,1.2,13050.893783569338,12564.215183258058,14597.381281852722
mps-uncap,1.3,75.92291831970215,62065.68510532379,2465.7914638519287
mig,1.3,17512.090396881104,17923.316717147827,19253.22995185852
