mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,12.662158012390138,9.656696319580076,9.185035228729244
mig,0.6,21.391868591308594,5.0082945823669425,2.4722194671630855
mps-uncap,0.7,12.590618133544922,10.63929796218872,8.338627815246582
mig,0.7,21.235525608062737,4.805030822753902,2.3895096778869633
mps-uncap,0.8,12.720587253570557,9.69085693359375,9.261877536773682
mig,0.8,21.45631313323975,4.630758762359619,2.3822879791259766
mps-uncap,0.9,12.646586894989014,10.678787231445309,8.455753326416016
mig,0.9,21.226606369018555,4.519224166870117,2.335309982299803
mps-uncap,1.0,12.387876510620119,9.743008613586426,9.333133697509766
mig,1.0,21.025037765502933,4.476299285888672,2.2149085998535156
mps-uncap,1.1,12.471866607666012,10.665292739868162,8.571271896362306
mig,1.1,21.03092193603516,4.482765197753906,2.218008041381836
mps-uncap,1.2,12.388784885406494,10.691366195678713,8.578844070434567
mig,1.2,20.990426540374752,4.460549354553222,2.196455001831056
mps-uncap,1.3,12.163429260253906,10.676980018615723,8.653621673583984
mig,1.3,21.110427379608158,4.45164680480957,2.256174087524411
