mode,load,0_vgg13-8,1_vgg13-8,2_vgg13-8,3_vgg13-8
mig,0.1,14.436054229736328,14.476299285888672,14.681551456451416,27.066411972045906
mig,0.2,17.746126651763902,21.614103317260707,14.487411975860601,28.569579124450673
mig,0.3,25.811433792114286,24.11472797393799,25.16485214233382,46.38917207717909
mig,0.4,31.02831602096571,30.294187068939202,40.786106586456285,53.766088485717766
mig,0.5,40.10730981826782,49.6726131439209,59.99033451080316,75.52118301391603
mig,0.6,58.63074302673318,54.68178510665884,65.04896163940427,104.26138877868647
mig,0.7,90.10527849197388,76.08983278274536,90.90334892272946,135.60585975646964
mig,0.8,124.36938047409053,97.59741306304932,109.56580638885504,249.85700845718384
mig,0.9,213.89290809631345,171.15358829498302,234.79673862457267,506.56464576721163
mig,1.0,942.2838640213015,848.5214710235596,634.3040657043452,738.1522607803345
