mode,load,0_vgg16-4,1_alexnet-16,2_vgg19-16
mps-uncap,0.6,24.26992416381838,16.11321449279785,23.630101680755615
mig,0.6,27.684545516967727,20.75504064559936,221.92628622055113
mps-uncap,0.7,31.81837797164884,20.468816757202145,27.16096878051752
mig,0.7,55.12717247009277,27.16449499130249,186.17017984390296
mps-uncap,0.8,63.26049804687488,46.311326026916504,34.16464567184449
mig,0.8,70.09564876556401,39.021711349487305,389.7417211532593
mps-uncap,0.9,92.73213624954224,55.2824473381042,36.98237419128417
mig,0.9,125.78049659729007,191.53399467468316,675.7934522628785
mps-uncap,1.0,170.3629851341246,254.01295661926304,49.775071144103755
mig,1.0,1279.6503114700322,1328.569097518921,4048.048734664917
mps-uncap,1.1,1065.7044339179993,4983.011875152588,46.37481689453126
mig,1.1,7646.500434875488,7904.077944755554,9167.712202072144
mps-uncap,1.2,7461.7657470703125,12785.695827007296,59.458818435668825
mig,1.2,13602.281093597412,12894.770526885985,11847.8227353096
mps-uncap,1.3,19243.070573806763,21635.77350616455,60.899457931518526
mig,1.3,19965.456347465515,20500.516209602356,22119.1153383255
