mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,7.666301727294923,58.310627937316895,8.849167823791506
mig,0.6,7.5568437576293945,109.1160535812378,8.998394012451172
mps-uncap,0.7,7.918548583984376,64.00625705718994,8.484411239624023
mig,0.7,7.536411285400391,109.65313911437988,8.987903594970703
mps-uncap,0.8,8.386230468750005,67.37966537475587,8.969426155090332
mig,0.8,7.54234790802002,110.00876426696777,8.924674987792969
mps-uncap,0.9,8.668136596679688,68.60487461090088,9.228706359863281
mig,0.9,7.514762878417969,110.48710346221924,8.757829666137695
mps-uncap,1.0,8.880615234375,69.50321197509766,9.553074836730959
mig,1.0,7.518005371093751,110.80288887023926,8.67762565612793
mps-uncap,1.1,9.35330390930176,69.96572017669678,10.04481315612793
mig,1.1,7.411527633666992,110.06052494049072,8.207559585571289
mps-uncap,1.2,9.336137771606447,66.21809005737305,11.053204536437992
mig,1.2,7.385492324829102,109.42423343658447,8.150172233581543
mps-uncap,1.3,10.191679000854494,66.33954048156738,12.271070480346683
mig,1.3,7.454013824462891,111.38629913330078,8.220553398132324
