mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,16.789693832397415,70.53672313690186,22.3067569732666
mig,0.6,36.85197830200199,176.40014648437497,30.836267471313487
mps-uncap,0.7,21.571216583251932,88.23384523391726,30.43042421340942
mig,0.7,58.125758171081536,265.73229551315313,46.73487424850459
mps-uncap,0.8,24.955224990844734,122.79185295104969,46.03830814361564
mig,0.8,79.18875217437743,315.3888607025147,67.85208225250221
mps-uncap,0.9,33.41434478759765,173.88862609863278,77.25683450698853
mig,0.9,107.99371004104627,527.723808288573,132.5303459167478
mps-uncap,1.0,53.037402629852295,325.536890029907,3950.115962028504
mig,1.0,972.0338535308841,2275.4637670516972,738.7102031707759
mps-uncap,1.1,148.0776381492615,736.8461799621582,19319.327268600464
mig,1.1,7639.5141887664795,9335.000138282774,6788.473868370055
mps-uncap,1.2,314.3082904815673,4819.172167778015,28058.748865127563
mig,1.2,14273.4113073349,13373.394293785097,13712.83061504364
mps-uncap,1.3,4760.749065876007,14468.106937408447,34184.13894414901
mig,1.3,20617.886152267456,20075.40027618408,20696.350898742676
