mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,3.4568309783935547,19.049692153930664,2.9048919677734375
mig,0.6,4.558801651000977,18.096160888671875,2.4137496948242188
mps-uncap,0.7,3.5626411437988286,18.81694793701172,3.0529022216796875
mig,0.7,4.57000732421875,18.289566040039062,2.3896455764770512
mps-uncap,0.8,3.5588741302490234,19.220900535583496,3.027677536010742
mig,0.8,4.523134231567383,18.135690689086914,2.3190975189208984
mps-uncap,0.9,3.3655166625976562,18.9753532409668,2.794981002807617
mig,0.9,4.325151443481445,17.84510612487793,2.077341079711914
mps-uncap,1.0,3.1998157501220703,18.866539001464844,2.7761459350585938
mig,1.0,4.250288009643555,17.51115322113037,2.039194107055664
mps-uncap,1.1,3.153562545776367,19.16635036468506,2.789735794067383
mig,1.1,4.242420196533203,17.546463012695312,2.040863037109375
mps-uncap,1.2,3.1728744506835938,19.31462287902832,2.8357505798339844
mig,1.2,4.241228103637695,17.476367950439453,2.037525177001953
mps-uncap,1.3,3.178834915161133,19.293546676635742,2.880573272705078
mig,1.3,4.32896614074707,17.67563819885254,2.0859241485595703
