mode,load,0_vgg16-32,1_efficientnet_b7-16,2_resnet34-4
mps-uncap,0.6,19.411802291870117,28.664588928222656,3.4019947052001953
mig,0.6,40.53044319152832,95.94845771789551,4.459142684936523
mps-uncap,0.7,19.495010375976562,29.453754425048828,3.346681594848633
mig,0.7,40.66324234008789,96.03047370910645,4.494428634643555
mps-uncap,0.8,19.420862197875977,30.00807762145996,3.321409225463867
mig,0.8,40.682077407836914,96.04477882385254,4.486560821533203
mps-uncap,0.9,19.8822021484375,31.673192977905273,3.3876895904541016
mig,0.9,40.71474075317383,96.00520133972168,4.496097564697266
mps-uncap,1.0,19.897937774658203,29.607057571411133,3.385305404663086
mig,1.0,40.86804389953613,96.78339958190918,4.507541656494141
mps-uncap,1.1,20.015478134155273,31.69727325439453,3.3864974975585938
mig,1.1,41.199445724487305,97.0158576965332,4.502296447753906
mps-uncap,1.2,19.992589950561523,28.03659439086914,3.3636093139648438
mig,1.2,41.38517379760742,98.52337837219238,4.522562026977539
mps-uncap,1.3,20.014047622680664,30.668973922729492,3.376483917236328
mig,1.3,41.66698455810547,96.59433364868164,4.523515701293945
