mode,load,0_vgg16-16,1_inception_v3-4,2_resnet18-4
mps-uncap,0.6,0.013113021850585938,0.011444091796875,0.011205673217773438
mig,0.6,0.010967254638671875,0.01239776611328125,0.011444091796875
mps-uncap,0.7,0.012874603271484375,0.012159347534179688,0.010967254638671875
mig,0.7,0.013589859008789062,0.011682510375976562,0.010967254638671875
mps-uncap,0.8,0.012636184692382812,0.05173683166503906,0.011205673217773438
mig,0.8,0.013113021850585938,0.012159347534179688,0.010967254638671875
mps-uncap,0.9,0.011682510375976562,0.015974044799804688,0.013589859008789062
mig,0.9,0.0133514404296875,0.01239776611328125,0.011205673217773438
mps-uncap,1.0,0.012874603271484375,0.019073486328125,0.014543533325195312
mig,1.0,0.014066696166992188,0.01430511474609375,0.013113021850585938
mps-uncap,1.1,0.012874603271484375,0.020265579223632812,0.018835067749023438
mig,1.1,0.014781951904296875,0.015497207641601562,0.013113021850585938
mps-uncap,1.2,0.010967254638671875,0.014066696166992188,0.01430511474609375
mig,1.2,0.018835067749023438,0.018596649169921875,0.014066696166992188
mps-uncap,1.3,0.012159347534179688,0.024557113647460938,0.014781951904296875
mig,1.3,0.014543533325195312,0.018358230590820312,0.013113021850585938
