mode,load,0_mobilenet_v2-2,1_resnet101-32,2_resnet101-32
mps-uncap,0.1,9.45468708934761,37.56735089240122,31.932462293787065
mps-uncap,0.2,18.709976015422473,67.39549664766447,65.76062567495123
mps-uncap,0.3,28.503032152791416,113.96458839277483,100.3280122906609
mps-uncap,0.4,37.22244941156797,154.24525046712878,133.28677626855568
mps-uncap,0.5,47.781453560666336,190.92988889338343,162.64108861412754
mps-uncap,0.6,55.5403680103514,238.91560013892254,202.60271183876804
mps-uncap,0.7,64.68440222634989,255.63583123977364,236.6848069767121
mps-uncap,0.8,76.6601733510325,299.7037579244798,267.8807168833669
mps-uncap,0.9,84.77003853215453,322.53863590147745,285.1759908050883
mps-uncap,1.0,92.80650917655029,350.0848224722177,336.4893544848639
mps-uncap,1.1,92.80859647386616,371.01302160422995,331.8431882942774
mps-uncap,1.2,93.22075403695766,373.26300155465117,329.4738757956082
mps-uncap,1.3,93.09809148687529,374.35132997040097,329.055126251601
mps-uncap,1.4,93.17562572324874,373.51805877292657,329.5800896402089
mps-uncap,1.5,93.15845962512843,374.63940292189477,330.85738587364176
orion,0.1,9.72460145655499,35.66345409997245,34.64138662163034
orion,0.2,19.069408839393713,66.03668492775817,67.20408913957947
orion,0.3,28.05327617686863,121.44956094132615,105.49576006159657
orion,0.4,37.29079674303724,138.7117352457715,133.31739571137317
orion,0.5,43.45270393558268,184.97437938861265,163.52168381316437
orion,0.6,51.69939884004758,227.4083912534245,193.1284151770711
orion,0.7,57.60115209152623,265.8450316445874,215.05806840907366
orion,0.8,49.323687532652045,281.49469699950356,262.6760590908016
orion,0.9,35.68413440800814,294.1467656350849,281.39684883322207
orion,1.0,32.894644798651996,267.3697574295214,314.10710861221753
orion,1.1,29.862162206744717,240.7110348119189,348.4463347428341
orion,1.2,27.547119443758106,220.46855545655845,373.47798994847733
orion,1.3,25.408859793880353,199.77253587256274,400.4824730720041
orion,1.4,23.782842976621907,186.6593798877337,417.84296706478165
orion,1.5,21.615681119403945,163.85149934362653,445.0004096531621
ts,0.1,9.697689970443726,36.46907754583734,33.013741265548134
ts,0.2,18.70262569021357,81.7319149722808,63.07501818049628
ts,0.3,28.961865702662795,114.29200837470141,98.38851650277385
ts,0.4,37.03934070201055,152.13481965514293,134.69723391453164
ts,0.5,45.74749065096797,171.63970505265706,165.33744826143436
ts,0.6,56.92121945138467,221.24256627053012,198.23410597521604
ts,0.7,65.35151114377332,256.77724435288286,228.45980600000516
ts,0.8,73.14814890231179,301.4618872999065,256.6334766881633
ts,0.9,83.5111013226498,278.45649228664786,274.7384135482829
ts,1.0,93.15597898412152,275.13963853739244,272.7740366423658
ts,1.1,100.95349074966173,271.3321015638829,272.7001196047688
ts,1.2,112.00146852275299,269.4766294681592,269.69209216632055
ts,1.3,121.3933404720552,267.5677598719072,267.8420108492514
ts,1.4,129.43184181713553,265.94150928784137,266.2048961299481
ts,1.5,137.22500658645995,263.53517896054734,264.58929488216205
