mode,load,0_mobilenet_v2-2,1_resnet101-32
mps-uncap,0.1,15.659928321838379,92.73335456848143
mps-uncap,0.2,21.374711990356452,135.14931201934797
mps-uncap,0.3,26.496944427490224,136.5911316871641
mps-uncap,0.4,31.02108955383301,180.17185211181638
mps-uncap,0.5,39.604580402374204,277.86499023437517
mps-uncap,0.6,51.56499147415161,275.42707920074395
mps-uncap,0.7,57.94680118560791,386.1056280136107
mps-uncap,0.8,91.30196571350116,582.6666545867906
mps-uncap,0.9,131.3357448577881,944.8156738281247
mps-uncap,1.0,1195.4388618469238,6584.927940368653
mps-uncap,1.1,10007.64615535736,15218.498554229736
mps-uncap,1.2,10175.502772331238,22554.353499412537
mps-uncap,1.3,10268.129272460938,28526.98673725129
mps-uncap,1.4,10340.604236125946,32377.487232685093
mps-uncap,1.5,9887.836103439331,43078.64732503891
orion,0.1,60.1411581039428,93.59432935714722
orion,0.2,112.9440379142763,98.0708122253418
orion,0.3,182.25846290588464,134.1906833648681
orion,0.4,270.13759613037473,132.97605514526367
orion,0.5,378.4001350402827,146.3503456115722
orion,0.6,773.1844258308413,189.970834255219
orion,0.7,2048.0246925353913,194.21253204345697
orion,0.8,21014.800531864163,245.23846626281738
orion,0.9,29676.701049804684,196.4041233062744
orion,1.0,43851.80297374725,404.4295120239249
orion,1.1,76098.83354902267,699.74310874939
orion,1.2,91999.2430019379,1362.9718303680424
orion,1.3,110226.034116745,1269.3874144554138
orion,1.4,114739.75442886353,5707.185227870941
orion,1.5,115302.6507663727,11848.255233764648
ts,0.1,15.082752704620368,86.54175996780394
ts,0.2,20.965108871459957,115.88763713836666
ts,0.3,29.833528995513905,173.97107124328616
ts,0.4,25.11701107025148,226.44305229187003
ts,0.5,31.965293884277337,311.30452156066946
ts,0.6,48.694076538085845,385.02265930175787
ts,0.7,46.53619766235354,663.3022594451904
ts,0.8,57.73292541503907,1937.0088124275205
ts,0.9,79.65571165084839,9613.872184753416
ts,1.0,277.7296018600462,22225.764441490173
ts,1.1,1103.5893201828005,33626.297969818115
ts,1.2,2791.718950271606,43124.155921936035
ts,1.3,8469.661121368406,49959.25210952758
ts,1.4,9466.27652645111,52548.80361080169
ts,1.5,8580.217583179474,58313.36614370345
